title|May2002|July2002|October2002|December2002|April2003|May2003|July2003|August2003|November2003|February2004|April2004|August2004|October2004|April2005|October2005|April2006|September2006|March2007|June2007|September2007|March2008|May2008|September2008|March2009|September2009|March2010|September2010|title|March2011|September2011|March2012|September2012|March2013|September2013|October2013|January2014|April2014|July2014|October2014|January2015|April2015|July2015|November2015|February2016|April2016|August2016|March2017|June2017|September2017|November2017|February2018|May2018|September2018|December2018|January2019|April2019|July2019|October2019|January2020|April2020|June2020|September2020|December2020
A Hero Lives||||||||||||||||||||||||||||A Hero Lives|||3|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1
A-Assault Core||||||||||||||||||||||||||||A-Assault Core|||||||||||||||||||3|3|3|3|3|3|1|3|3|3|3|3|3|3|3|3|3
ABC-Dragon Buster||||||||||||||||||||||||||||ABC-Dragon Buster|||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|2|3
Abyss Soldier||||||||||||||2|2|3|3|3|3|3|3|3|3|3|3|3|3|Abyss Soldier|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Advanced Ritual Art||||||||||||||||||3|3|3|1|1|1|1|1|1|1|Advanced Ritual Art|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Allure of Darkness|||||||||||||||||||||3|2|3|2|2|1|1|Allure of Darkness|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Altergeist Multifaker||||||||||||||||||||||||||||Altergeist Multifaker||||||||||||||||||||||||3|3|3|3|3|1|1|1|1|3|3|3
Ancient Fairy Dragon|||||||||||||||||||||||||3|3|3|Ancient Fairy Dragon|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0
Apoqliphort Towers||||||||||||||||||||||||||||Apoqliphort Towers||||||||||||3|3|3|0|0|0|0|0|0|0|0|1|2|3|3|3|3|3|3|3|3|3|3|3
Apprentice Magician|||||||||3|3|3|3|3|3|3|2|2|2|2|2|3|3|3|3|3|3|3|Apprentice Magician|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Archlord Kristya||||||||||||||||||||||||||3|3|Archlord Kristya|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Archnemeses Protos||||||||||||||||||||||||||||Archnemeses Protos|||||||||||||||||||||||||||||||||3|3|3
Armageddon Knight|||||||||||||||||||||3|3|3|3|3|3|3|Armageddon Knight|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1
Artifact Moralltach||||||||||||||||||||||||||||Artifact Moralltach||||||||||3|3|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3
Astrograph Sorcerer||||||||||||||||||||||||||||Astrograph Sorcerer|||||||||||||||||||||3|3|3|0|0|0|0|0|0|0|0|0|0|0|0
Atlantean Dragoons||||||||||||||||||||||||||||Atlantean Dragoons|||3|3|3|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3
Backup Soldier||||2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Backup Soldier|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Beatrice, Lady of the Eternal||||||||||||||||||||||||||||Beatrice, Lady of the Eternal|||||||||||||||||3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Black Dragon Collapserpent||||||||||||||||||||||||||||Black Dragon Collapserpent||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1
Black Luster Soldier - Envoy of the Beginning|||||||||||1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|Black Luster Soldier - Envoy of the Beginning|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3
Black Rose Dragon||||||||||||||||||||||||3|1|1|3|Black Rose Dragon|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Black Whirlwind|||||||||||||||||||||||||3|2|1|Black Whirlwind|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Blackwing - Gale the Whirlwind|||||||||||||||||||||||||1|1|1|Blackwing - Gale the Whirlwind|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Blackwing - Gofu the Vague Shadow||||||||||||||||||||||||||||Blackwing - Gofu the Vague Shadow||||||||||||||||||3|3|3|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Blackwing - Kalut the Moon Shadow|||||||||||||||||||||||||3|3|3|Blackwing - Kalut the Moon Shadow|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Blackwing - Steam the Cloak||||||||||||||||||||||||||||Blackwing - Steam the Cloak||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0
Blaster, Dragon Ruler of Infernos||||||||||||||||||||||||||||Blaster, Dragon Ruler of Infernos||||||3|3|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Block Dragon||||||||||||||||||||||||||||Block Dragon|||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0
Book of Moon||||||||3|3|3|3|3|3|3|1|1|1|1|1|1|2|2|2|3|3|3|3|Book of Moon|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3
Book of Taiyou||||||||3|3|3|3|3|3|3|1|3|3|3|3|3|3|3|3|3|3|3|3|Book of Taiyou|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Bottomless Trap Hole||||||||||||||3|3|3|3|3|3|3|3|3|3|3|2|2|2|Bottomless Trap Hole|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3
Brain Control|||||||||||||||3|3|3|3|3|1|1|1|1|1|1|1|0|Brain Control|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3
Breaker the Magical Warrior|||||||||1|1|1|1|1|1|1|1|1|0|0|1|0|0|1|1|3|3|3|Breaker the Magical Warrior|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Brilliant Fusion||||||||||||||||||||||||||||Brilliant Fusion|||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|0|0|0|0|0
Brionac, Dragon of the Ice Barrier||||||||||||||||||||||||||1|1|Brionac, Dragon of the Ice Barrier|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3
Brotherhood of the Fire Fist - Spirit||||||||||||||||||||||||||||Brotherhood of the Fire Fist - Spirit|||||3|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Burial from a Different Dimension||||||||||||||||||3|3|3|3|3|3|3|3|1|1|Burial from a Different Dimension|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3
Burner, Dragon Ruler of Sparks||||||||||||||||||||||||||||Burner, Dragon Ruler of Sparks||||||0|0|0|0|0|0|0|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Butterfly Dagger - Elma||||||||||1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Butterfly Dagger - Elma|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Call of the Haunted||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|Call of the Haunted|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Called by the Grave||||||||||||||||||||||||||||Called by the Grave||||||||||||||||||||||||3|2|3|3|3|3|3|3|3|3|1|1
Card Destruction|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Card Destruction|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1
Card of Demise||||||||||||||||||||||||||||Card of Demise||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1
Card of Safe Return||||||||||||||3|3|3|3|3|3|3|3|3|2|1|0|0|0|Card of Safe Return|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Card Trooper||||||||||||||||||3|3|1|1|1|1|1|1|1|1|Card Trooper|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3
Ceasefire||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Ceasefire|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3
Chain Strike||||||||||||||||||1|1|1|1|1|2|2|2|2|2|Chain Strike|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1
Change of Heart|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Change of Heart|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Chaos Emperor Dragon - Envoy of the End|||||||||||1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Chaos Emperor Dragon - Envoy of the End|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|3|3|3|3|3|3
Chaos Sorcerer|||||||||||3|3|3|3|3|3|0|0|0|0|0|0|0|1|2|1|2|Chaos Sorcerer|3|3|3|1|1|1|1|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Charge of the Light Brigade||||||||||||||||||||||||3|3|1|1|Charge of the Light Brigade|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Chicken Game||||||||||||||||||||||||||||Chicken Game|||||||||||||||3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Cir, Malebranche of the Burning Abyss||||||||||||||||||||||||||||Cir, Malebranche of the Burning Abyss|||||||||||3|3|3|3|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|3
Coach Soldier Wolfbark||||||||||||||||||||||||||||Coach Soldier Wolfbark|||||||3|3|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Cold Wave||||||||||||||3|3|3|3|3|3|3|3|3|3|3|1|1|1|Cold Wave|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Compulsory Evacuation Device||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|Compulsory Evacuation Device|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
Confiscation|||1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|0|0|0|0|0|0|Confiscation|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Constellar Ptolemy M7||||||||||||||||||||||||||||Constellar Ptolemy M7||||||1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Creature Swap|||||||2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|Creature Swap|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Crush Card Virus||||||||||||||||||1|1|1|1|1|1|1|0|0|0|Crush Card Virus|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Crystron Halqifibrax||||||||||||||||||||||||||||Crystron Halqifibrax|||||||||||||||||||||||||||||||3|3|3|3|3
Cyber Angel Benten||||||||||||||||||||||||||||Cyber Angel Benten||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Cyber Dragon|||||||||||||||3|3|3|3|3|3|2|2|1|1|1|2|3|Cyber Dragon|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Cyber Jar|||1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|Cyber Jar|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Cyber-Stein||||||||||||||3|3|3|0|0|0|0|0|0|0|0|0|0|0|Cyber-Stein|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1
D.D. Assailant||||||||||||||3|3|1|1|2|2|3|3|3|3|3|3|3|3|D.D. Assailant|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
D.D. Warrior Lady||||||||||3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|3|3|3|D.D. Warrior Lady|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Daigusto Emeral||||||||||||||||||||||||||||Daigusto Emeral||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1
Dandylion|||||||||||||||||||||||1|1|1|2|2|Dandylion|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Danger! Nessie!||||||||||||||||||||||||||||Danger! Nessie!|||||||||||||||||||||||||3|3|3|3|2|2|1|1|1|1|1
Danger!? Jackalope?||||||||||||||||||||||||||||Danger!? Jackalope?|||||||||||||||||||||||||3|3|3|3|2|2|2|1|1|1|1
Danger!? Tsuchinoko?||||||||||||||||||||||||||||Danger!? Tsuchinoko?||||||||||||||||||||||||||3|3|3|2|2|2|1|1|1|1
Dark Armed Dragon|||||||||||||||||||||3|3|2|1|1|1|1|Dark Armed Dragon|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3
Dark Grepher|||||||||||||||||||||3|3|3|3|3|3|3|Dark Grepher|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1
Dark Hole|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|Dark Hole|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3
Dark Magician of Chaos||||||||||3|3|3|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|Dark Magician of Chaos|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Dark Scorpion - Chick the Yellow||||||||||3|3|3|3|2|3|3|3|3|3|3|3|3|3|3|3|3|3|Dark Scorpion - Chick the Yellow|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Dark Strike Fighter|||||||||||||||||||||||||0|0|0|Dark Strike Fighter|0|0|0|0|0|0|0|0|0|0|0|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Debris Dragon||||||||||||||||||||||||3|3|3|3|Debris Dragon|2|1|1|2|2|2|2|1|1|1|1|1|1|1|1|1|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Deck Devastation Virus||||||||||||||1|1|2|2|2|2|3|3|3|3|3|3|3|3|Deck Devastation Virus|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Deep Sea Diva|||||||||||||||||||||||||3|3|3|Deep Sea Diva|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3
Delinquent Duo|||1|1|1|1|1|1|1|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|Delinquent Duo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Demise, King of Armageddon||||||||||||||||3|3|3|3|3|3|3|3|3|1|2|2|Demise, King of Armageddon|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Denglong, First of the Yang Zing||||||||||||||||||||||||||||Denglong, First of the Yang Zing|||||||||||||||||||3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Destiny Draw||||||||||||||||||3|3|3|3|3|3|2|3|1|1|Destiny Draw|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Destiny HERO - Disk Commander|||||||||||||||||||3|1|1|1|0|0|0|0|0|Destiny HERO - Disk Commander|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|3|3|3|3|3|3|3|3|3
Destiny HERO - Malicious||||||||||||||||||3|3|2|2|2|3|2|2|2|2|Destiny HERO - Malicious|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|3|3|2|2|2|2
Destrudo the Lost Dragon's Frisson||||||||||||||||||||||||||||Destrudo the Lost Dragon's Frisson||||||||||||||||||||||3|3|3|3|3|3|3|3|3|3|0|0|0|0
Dewloren, Tiger King of the Ice Barrier|||||||||||||||||||||||||||2|Dewloren, Tiger King of the Ice Barrier|3|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Dimension Fusion|||||||||||3|3|3|3|3|3|3|1|1|1|1|0|0|0|0|0|0|Dimension Fusion|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Dimensional Fissure|||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|Dimensional Fissure|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Dimensional Prison|||||||||||||||||||||3|3|3|3|3|3|3|Dimensional Prison|3|3|3|3|3|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Dinomight Knight, the True Dracofighter||||||||||||||||||||||||||||Dinomight Knight, the True Dracofighter||||||||||||||||||||3|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1
Dinowrestler Pankratops||||||||||||||||||||||||||||Dinowrestler Pankratops||||||||||||||||||||||||||3|3|3|3|3|1|1|1|1|1
Divine Wind of Mist Valley||||||||||||||||||||||||||||Divine Wind of Mist Valley|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
